name,area_name,published_at,salary
Консультант по внедрению (Oracle E-Business Suite),Москва,2003-10-27T00:00:00+0300,60470.0
"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",Москва,2003-07-16T18:31:53+0400,30380.8
Install Engineer   (Job# 220879),Нижний Новгород,2003-07-16T20:32:37+0400,
Intel Tools Business Development Manager   (Job# 257157),Нижний Новгород,2003-07-16T20:36:55+0400,
Release Manager   (Job# 260050),Нижний Новгород,2003-07-16T20:41:57+0400,
НАЧАЛЬНИК ПРОЕКТНОГО ОТДЕЛА (СЛАБОТОЧНЫЕ СИСТЕМЫ),Санкт-Петербург,2003-07-17T10:07:35+0400,
"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",Москва,2003-07-17T11:25:13+0400,30380.8
Главный специалист отдела эксплуатации и технического обслуживания,Москва,2003-10-06T00:00:00+0400,
Специалист отдела эксплуатации и технического обслуживания Управления информационной техники и связи,Москва,2003-10-06T00:00:00+0400,
Системный администратор,Москва,2003-07-17T15:47:04+0400,24304.64
Специалист отдела труда и заработной платы.,Москва,2003-10-06T00:00:00+0400,36282.0
Business Development Manager,Москва,2003-10-06T00:00:00+0400,
Pre-Sales Manager,Москва,2003-10-06T00:00:00+0400,
Sales Manager,Москва,2003-10-06T00:00:00+0400,
Sales Manager (Oil and Gas),Москва,2003-10-06T00:00:00+0400,
Sales Manager (Government),Москва,2003-10-06T00:00:00+0400,
Senior CAD Engineer   (Job# 253952),Москва,2003-07-17T20:03:13+0400,
